Lluvia;Abreviatura;Inicio de actividad;Fin de actividad;Maximo
Cuadrantidas;QUA;28/12/2018;12/01/2019;04/01/2019
Gamma Ursa Minoridas;GUM;10/01/2019;22/01/2019;18/01/2019
Alfa Centauridas;ACE;31/01/2019;20/02/2019;08/02/2019
Gamma Normidas;GNO;25/02/2019;28/03/2019;15/03/2019
Liridas;LYR;14/04/2019;30/04/2019;23/04/2019
Pi Puppidas;PPU;15/04/2019;28/04/2019;24/04/2019
Eta Aquaridas;ETA;19/04/2019;28/05/2019;06/05/2019
Eta Liridas;ELY;03/05/2019;14/05/2019;09/05/2019
Arietidas;ARI;14/05/2019;24/06/2019;08/06/2019
Bootidas de junio;JBO;22/06/2019;02/07/2019;27/06/2019
Piscis Austrinidas;PAU;15/07/2019;10/08/2019;28/07/2019
Delta Aquaridas del Sur;SDA;12/07/2019;23/08/2019;30/07/2019
Alfa Capricornidas;CAP;03/07/2019;15/08/2019;30/07/2019
Perseidas;PER;17/07/2019;24/08/2019;13/08/2019
Kappa Cignidas;KCG;03/08/2019;25/08/2019;18/08/2019
Aurigidas;AUR;28/08/2019;05/09/2019;01/09/2019
Epsilon Perseidas de Septiembre;SPE;05/09/2019;21/09/2019;09/09/2019
Sextantidas diurnas;DSX;09/09/2019;09/10/2019;28/09/2019
Camelopardalidas de Octubre ;OCT;05/10/2019;06/10/2019;06/10/2019
Dacronidas ;DRA;06/10/2019;10/10/2019;09/10/2019
Tauridas del Sur;STA;10/09/2019;20/11/2019;10/10/2019
Delta Aurigidas;DAU;10/10/2019;18/10/2019;11/10/2019
Epsilon Geminidas;EGE;14/10/2019;27/10/2019;19/10/2019
Orionidas;ORI;02/10/2019;07/11/2019;22/10/2019
Leonidas Minoridas;LMI;19/10/2019;27/10/2019;25/10/2019
Tauridas del Norte;NTA;20/10/2019;10/12/2019;13/11/2019
Leonidas;LEO;06/11/2019;30/11/2019;18/11/2019
Alfa Monocerotidas;AMO;15/11/2019;25/11/2019;22/11/2019
Orionidas de noviembre;NOO;13/11/2019;06/12/2019;28/11/2019
Fenicidas;PHO;22/11/2019;09/12/2019;02/12/2019
Puppidas-Velidas;PUP;01/12/2019;15/12/2019;07/12/2019
Monocerotidas;MON;05/12/2019;20/12/2019;09/12/2019
Sigma Hidridas ;HYD;03/12/2019;15/12/2019;12/12/2019
Geminidas;GEM;04/12/2019;17/12/2019;14/12/2019
Coma Berenicidas;COM;12/12/2019;23/12/2019;16/12/2019
Leonidas Minoridas de diciembre;DLM;05/12/2019;04/02/2020;20/12/2019
Ursidas;URS;17/12/2019;26/12/2019;23/12/2019
Capricornidas/Sagitaridas;DCS;13/01/2019;04/02/2019;01/02/2019
Chi Capricornidas;DXC;29/01/2019;28/02/2019;13/02/2019
Piscidas de abril;APS;20/04/2019;26/04/2019;22/04/2019
Epsilon Arietidas;DEA;24/04/2019;27/05/2019;09/05/2019
Arietidas de mayo;DMA;04/05/2019;06/06/2019;16/05/2019
Omicron Cetidas;DCE;05/05/2019;02/06/2019;20/05/2019
Arietidas;ARI;14/05/2019;24/06/2019;07/06/2019
Zeta Perseidas;ZPE;20/05/2019;05/07/2019;09/06/2019
Beta Tauridas;BTA;05/06/2019;17/07/2019;28/06/2019
Gamma Leonidas;GLE;14/08/2019;12/09/2019;25/08/2019
