Date;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|
mar. mar. 12 2019;-95,95;-124,95;15;0;15;0;|;-89,32;-124,29;19;1;18;0;|;-96,72;-123,93;13;0;13;0;|;-85,78;-124,66;8;1;7;0;|;-91,42;-124,83;18;1;17;0;|;-87,99;-124,03;17;1;16;0;|;-91,12;-124,09;12;2;9;1;|;-92,88;-123,4;15;3;10;2;|;-88,14;-123,7;12;1;11;0;|;-91,79;-123,7;23;2;21;0;|;-84,45;-124,23;23;3;19;1;|;-96,44;-125,17;22;1;21;0;|;-92,27;-125,71;22;1;21;0;|;-91,91;-125,8;10;1;9;0;|;-85,46;-123,84;6;2;4;0;|;-95,65;-124,53;5;0;5;0;|;-98,9;-124,62;5;0;5;0;|;-106,8;-124,73;5;0;5;0;|;-107,88;-125,92;4;0;4;0;|;-105,31;-125,95;3;0;3;0;|;-98,81;-125,96;7;1;6;0;|;-106,13;-125,28;3;1;2;0;|;-88,69;-125,53;10;2;8;0;|;-97,99;-126,06;15;2;13;0;|;-84,45;-124,79;292;26;262;4;|
mié. mar. 13 2019;-75,46;-119,6;10;1;9;0;|;-75,46;-119,6;11;0;11;0;|;-86,83;-122,62;10;0;10;0;|;-98,27;-122,54;12;1;11;0;|;-96,32;-122,35;12;1;11;0;|;-87,51;-122,58;14;2;12;0;|;-79,78;-121,93;7;1;6;0;|;-89,63;-122,26;6;1;5;0;|;-96,48;-122,47;15;0;15;0;|;-86,95;-122,21;13;3;10;0;|;-93,71;-122,16;26;3;21;2;|;-89,18;-122,83;21;0;21;0;|;-89,48;-123,42;19;2;17;0;|;-96,18;-123,97;6;0;6;0;|;-85,84;-123,63;7;1;6;0;|;-77,65;-122,01;4;1;3;0;|;-104,4;-123,81;1;0;1;0;|;-99,23;-123,56;4;0;4;0;|;-96,01;-121,93;6;0;6;0;|;-95,73;-121,05;3;0;3;0;|;-104,71;-121,23;2;0;2;0;|;-96,64;-121,06;6;0;6;0;|;-97,8;-123,26;7;1;6;0;|;-97,15;-120,25;5;0;5;0;|;-75,46;-122,18;227;18;207;2;|
jue. mar. 14 2019;-97,44;-120,17;10;0;10;0;|;-103,57;-120,97;10;2;8;0;|;-103,05;-121,2;5;0;5;0;|;-100,29;-120,86;8;0;8;0;|;-87,32;-120,59;9;0;9;0;|;-101,83;-120,52;8;0;8;0;|;-93,39;-120,44;7;0;7;0;|;-87,4;-120,49;17;3;14;0;|;-91,11;-120,23;11;1;10;0;|;-97,15;-122;17;1;16;0;|;-98,49;-122,59;13;1;12;0;|;-97,82;-123,76;18;1;17;0;|;-85,73;-123,53;11;0;11;0;|;-89,43;-124,16;14;5;9;0;|;-97,78;-124,98;8;1;7;0;|;-91,25;-124,23;5;1;4;0;|;-93,84;-124,67;2;0;2;0;|;-93,32;-123,42;3;1;2;0;|;-96,98;-122,95;7;0;7;0;|;-94,06;-122,82;8;1;7;0;|;-99,41;-123,12;3;0;3;0;|;-85,71;-122,67;8;1;7;0;|;-99,27;-122,79;8;1;7;0;|;-97,78;-123,08;8;1;7;0;|;-85,71;-122,34;218;21;197;0;|
vie. mar. 15 2019;-93,52;-124,3;13;0;13;0;|;-96,56;-124,06;18;0;18;0;|;-89,45;-122,82;12;2;10;0;|;-88,59;-123,21;12;0;12;0;|;-97,01;-123,41;6;1;5;0;|;-92,96;-122,68;10;0;10;0;|;-91,96;-122,53;15;1;14;0;|;-100,2;-122,92;13;0;13;0;|;-85,76;-122,97;6;1;5;0;|;-93,06;-121,94;11;2;9;0;|;-96,24;-123,1;16;0;16;0;|;-92,5;-123;14;0;14;0;|;-100,87;-123,35;9;0;9;0;|;-103,32;-123,05;4;0;4;0;|;-87,84;-121,36;3;0;3;0;|;-99,93;-121,26;5;0;5;0;|;-99,14;-121,52;5;0;5;0;|;-95,15;-123,2;2;0;2;0;|;-100;-122,93;1;0;1;0;|;-95,18;-122,93;2;1;1;0;|;-95,16;-123,26;3;1;2;0;|;-99,48;-123,28;4;1;3;0;|;-82,33;-121,94;3;1;2;0;|;-84,97;-123,41;6;0;5;1;|;-82,33;-122,85;193;11;181;1;|
sáb. mar. 16 2019;-94,62;-123,54;11;1;10;0;|;-90,2;-125,23;14;1;13;0;|;-89,65;-125,33;17;3;14;0;|;-95,06;-124,57;8;1;7;0;|;-93,83;-124,58;7;0;7;0;|;-99,96;-124,54;6;1;5;0;|;-95,11;-123,53;13;0;13;0;|;-92,43;-122,71;6;0;6;0;|;-88,77;-123,66;20;5;15;0;|;-94,29;-124,85;14;1;13;0;|;-94,57;-124,54;22;2;20;0;|;-96,32;-124,32;7;1;6;0;|;-98,84;-126;16;0;16;0;|;-106,74;-124,08;9;1;8;0;|;-105,76;-125,92;5;0;5;0;|;-;-;0;0;0;0;|;-102,88;-122,73;3;0;3;0;|;-103,95;-123,31;3;0;3;0;|;-105,91;-123,31;3;0;3;0;|;-107,78;-123,96;1;0;1;0;|;-94,46;-123,54;4;0;4;0;|;-96,53;-123,4;9;0;9;0;|;-91,71;-123,14;11;1;10;0;|;-97,72;-123,89;11;0;11;0;|;-88,77;-124,12;220;18;202;0;|
dom. mar. 17 2019;-96,24;-124,23;9;1;8;0;|;-91,45;-124,19;14;3;11;0;|;-90,5;-125,68;16;3;13;0;|;-92,17;-125,67;14;0;14;0;|;-100,25;-125,25;13;0;13;0;|;-91,13;-125,19;15;1;14;0;|;-94,91;-124,72;17;1;16;0;|;-94,91;-124,33;14;1;13;0;|;-92,77;-124,49;20;2;18;0;|;-91,41;-123,36;13;3;9;1;|;-90,82;-123,45;16;2;14;0;|;-96,98;-123,44;23;4;19;0;|;-99,62;-122,59;7;1;6;0;|;-89,87;-122,29;8;0;8;0;|;-96,16;-122,39;5;0;5;0;|;-101,97;-122,13;4;1;3;0;|;-90,42;-122,11;3;1;2;0;|;-100,85;-122,11;4;0;4;0;|;-96,37;-122,55;4;0;4;0;|;-97,1;-122,48;6;1;5;0;|;-101,64;-122,78;6;0;6;0;|;-102,72;-122,56;6;0;6;0;|;-88,6;-121,72;9;1;8;0;|;-89,75;-122,6;15;1;14;0;|;-88,6;-123,43;261;27;233;1;|
lun. mar. 18 2019;-84,5;-123,35;8;1;7;0;|;-78,78;-122,7;6;1;5;0;|;-78,78;-122,68;3;0;3;0;|;-99,34;-121,66;13;1;12;0;|;-92,49;-121,67;7;1;5;1;|;-92,49;-121,67;8;0;8;0;|;-92,59;-120,96;11;1;10;0;|;-93,02;-120,91;8;0;8;0;|;-93,88;-120,4;6;0;6;0;|;-93,29;-120,4;10;1;9;0;|;-96,5;-120,08;15;1;14;0;|;-90,49;-121,4;11;1;10;0;|;-94,04;-122,02;10;2;8;0;|;-98,38;-122,63;12;1;11;0;|;-93,93;-121,26;4;0;4;0;|;-104,7;-121,35;2;0;2;0;|;-103,26;-123,69;8;0;8;0;|;-99,71;-124,52;2;0;2;0;|;-86,13;-122,21;7;1;6;0;|;-91,66;-121,84;1;1;0;0;|;-91,66;-121,8;3;0;3;0;|;-101,33;-121,27;4;0;4;0;|;-99,1;-120,42;5;0;5;0;|;-95,43;-120,29;6;1;5;0;|;-78,78;-121,72;170;14;155;1;|
mar. mar. 19 2019;-92,92;-120,83;5;0;5;0;|;-92,6;-121,43;11;0;11;0;|;-86,12;-120,87;16;3;13;0;|;-88,37;-121,09;4;0;4;0;|;-92,71;-121,09;7;1;6;0;|;-83,94;-121,15;14;2;12;0;|;-87,08;-121,29;10;1;9;0;|;-101,47;-120,28;7;0;7;0;|;-85,7;-120,63;16;1;15;0;|;-88,54;-120,8;8;1;7;0;|;-92,71;-121,83;17;0;17;0;|;-100,8;-123,92;8;0;8;0;|;-95,76;-124,58;8;1;6;1;|;-91,03;-122,81;11;0;10;1;|;-103,7;-123,33;4;0;4;0;|;-94,77;-124,49;7;0;7;0;|;-101,96;-125,9;2;0;2;0;|;-109,69;-125,87;2;1;1;0;|;-99,02;-125,69;6;0;6;0;|;-102,61;-124,67;5;0;5;0;|;-101,94;-124,74;2;0;2;0;|;-103,07;-122,83;7;0;7;0;|;-96;-121,82;6;0;6;0;|;-98,51;-122,89;10;0;10;0;|;-83,94;-122,7;193;11;180;2;|
mié. mar. 20 2019;-96,37;-122,64;5;1;4;0;|;-96,37;-122,58;6;0;6;0;|;-83,51;-122,15;4;2;2;0;|;-93,78;-122,09;8;1;7;0;|;-101,47;-122,19;5;0;5;0;|;-92,07;-122,03;8;0;8;0;|;-92,39;-122,17;7;1;6;0;|;-101,44;-121,95;6;0;6;0;|;-95,76;-121,47;5;1;2;2;|;-104,21;-124,77;3;0;1;2;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-83,12;-121,13;11;6;1;4;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-83,12;-122,29;68;12;48;8;|
jue. mar. 21 2019;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-;-;0;0;0;0;|;-113,38;-130,04;1;0;1;0;|;-103,94;-129,5;6;1;5;0;|;-105,8;-129,03;3;0;3;0;|;-107,16;-127,61;6;0;6;0;|;-103,94;-129,04;16;1;15;0;|
