"Rate ID";"User ID";"Obs Session ID";"Start Date";"End Date";Ra;Decl;Teff;F;Lm;Shower;Method;Number
946696;210;78458;"2019-03-22 18:40:00";"2019-03-22 19:34:00";90.0000;50.0000;0.9000;1.0000;6.44;ANT;C;1
946697;210;78458;"2019-03-22 18:40:00";"2019-03-22 19:34:00";90.0000;50.0000;0.9000;1.0000;6.44;SPO;C;6
946692;9938;78457;"2019-03-22 18:50:00";"2019-03-22 19:35:00";105.0000;35.0000;0.7500;1.0000;3.5;ANT;C;0
946693;9938;78457;"2019-03-22 18:50:00";"2019-03-22 19:35:00";105.0000;35.0000;0.7500;1.0000;3.5;SPO;C;0
946694;9938;78457;"2019-03-22 20:15:00";"2019-03-22 20:40:00";120.0000;25.0000;0.4167;1.0000;3;ANT;C;1
946695;9938;78457;"2019-03-22 20:15:00";"2019-03-22 20:40:00";120.0000;25.0000;0.4167;1.0000;3;SPO;C;0
946719;7956;78466;"2019-03-24 09:00:00";"2019-03-24 10:00:00";150.0000;-45.0000;0.9800;1.0000;6.55;GNO;C;0
946720;7956;78466;"2019-03-24 09:00:00";"2019-03-24 10:00:00";150.0000;-45.0000;0.9800;1.0000;6.55;ANT;C;1
946721;7956;78466;"2019-03-24 09:00:00";"2019-03-24 10:00:00";150.0000;-45.0000;0.9800;1.0000;6.55;SPO;C;7
946722;7956;78466;"2019-03-24 10:00:00";"2019-03-24 10:30:00";165.0000;-45.0000;0.4800;1.0000;6.55;GNO;C;0
946723;7956;78466;"2019-03-24 10:00:00";"2019-03-24 10:30:00";165.0000;-45.0000;0.4800;1.0000;6.55;ANT;C;0
946724;7956;78466;"2019-03-24 10:00:00";"2019-03-24 10:30:00";165.0000;-45.0000;0.4800;1.0000;6.55;SPO;C;1
946703;210;78461;"2019-03-24 18:55:00";"2019-03-24 19:55:00";80.0000;50.0000;1.0000;1.0000;6.6;ANT;C;1
946704;210;78461;"2019-03-24 18:55:00";"2019-03-24 19:55:00";80.0000;50.0000;1.0000;1.0000;6.6;SPO;C;8
946705;210;78461;"2019-03-24 19:55:00";"2019-03-24 21:31:00";100.0000;40.0000;1.6000;1.0000;6.6;ANT;C;2
946706;210;78461;"2019-03-24 19:55:00";"2019-03-24 21:31:00";100.0000;40.0000;1.6000;1.0000;6.6;SPO;C;14
946698;214;78459;"2019-03-24 20:40:00";"2019-03-24 21:40:00";150.0000;20.0000;1.0000;1.0500;6.16;ANT;C;0
946699;214;78459;"2019-03-24 20:40:00";"2019-03-24 21:40:00";150.0000;20.0000;1.0000;1.0500;6.16;SPO;C;6
