date,meteors
2019-03-22,1
2019-03-22,6
2019-03-22,0
2019-03-22,0
2019-03-22,1
2019-03-22,0
2019-03-24,0
2019-03-24,1
2019-03-24,7
2019-03-24,0
2019-03-24,0
2019-03-24,1
2019-03-24,1
2019-03-24,8
2019-03-24,2
2019-03-24,14
2019-03-24,0
2019-03-24,6
2019-03-24,0
2019-03-24,4
2019-03-24,1
2019-03-24,0
2019-03-24,1
2019-03-24,1
2019-03-24,0
2019-03-25,0
2019-03-25,1
2019-03-25,2
2019-03-25,8
2019-03-25,2
2019-03-25,12
2019-03-25,5
2019-03-25,10
2019-03-29,5
2019-03-29,10
2019-03-30,3
2019-03-30,5
2019-03-30,1
2019-03-30,11
2019-03-30,2
2019-03-30,1
2019-03-30,7
2019-03-30,1
2019-03-30,0
2019-03-30,3
2019-03-30,0
2019-03-30,0
2019-03-30,11
2019-03-30,0
2019-03-30,1
2019-03-30,12
2019-03-30,0
2019-03-30,2
2019-03-30,12
2019-03-30,0
2019-03-30,2
2019-03-30,14
2019-03-30,0
2019-03-30,1
2019-03-30,2
2019-03-30,0
2019-03-30,0
2019-03-30,2
2019-03-30,0
2019-03-30,0
2019-03-30,5
2019-03-30,2
2019-03-30,7
2019-03-30,3
2019-03-30,9
2019-03-30,0
2019-03-30,2
2019-03-30,0
2019-03-30,2
2019-03-30,1
2019-03-30,5
2019-03-30,1
2019-03-30,0
2019-03-31,4
2019-03-31,5
2019-03-31,0
2019-03-31,0
2019-03-31,4
2019-03-31,0
2019-03-31,6
2019-03-31,0
2019-03-31,0
2019-03-31,4
2019-03-31,0
2019-03-31,4
2019-03-31,1
2019-03-31,1
2019-03-31,9
2019-03-31,0
2019-03-31,1
2019-03-31,1
2019-03-31,1
2019-03-31,5
2019-03-31,1
2019-03-31,3
2019-03-31,1
2019-03-31,0
2019-03-31,10
2019-03-31,0
2019-03-31,2
2019-03-31,1
2019-03-31,3
2019-03-31,2
2019-03-31,9
2019-03-31,4
2019-03-31,11
2019-03-31,0
2019-03-31,8
2019-04-01,2
2019-04-01,8
2019-04-01,3
2019-04-01,8
2019-04-01,1
2019-04-01,5
2019-04-01,1
2019-04-01,10
2019-04-01,0
2019-04-01,4
2019-04-01,2
2019-04-01,7
2019-04-01,1
2019-04-01,0
2019-04-01,2
2019-04-01,9
2019-04-01,1
2019-04-01,2
2019-04-01,4
2019-04-01,13
2019-04-01,1
2019-04-01,8
2019-04-01,2
2019-04-01,9
2019-04-01,1
2019-04-02,4
2019-04-02,3
2019-04-02,2
2019-04-02,8
2019-04-02,1
2019-04-02,0
2019-04-03,0
2019-04-03,0
2019-04-03,0
2019-04-03,0
2019-04-03,2
2019-04-03,8
2019-04-03,0
2019-04-03,2
2019-04-03,3
2019-04-03,3
2019-04-03,1
2019-04-03,0
2019-04-04,2
2019-04-04,5
2019-04-04,1
2019-04-04,6
2019-04-04,2
2019-04-04,1
2019-04-04,7
2019-04-04,1
2019-04-04,0
2019-04-04,5
2019-04-04,0
2019-04-04,2
2019-04-04,9
2019-04-04,0
2019-04-04,3
2019-04-04,12
2019-04-05,1
2019-04-05,7
2019-04-05,3
2019-04-05,9
2019-04-05,5
2019-04-05,10
2019-04-05,4
2019-04-05,0
2019-04-05,5
2019-04-05,0
2019-04-05,2
2019-04-05,2
2019-04-05,1
2019-04-05,6
2019-04-05,0
2019-04-05,2
2019-04-05,0
2019-04-05,2
2019-04-05,11
2019-04-05,0
2019-04-05,4
2019-04-06,0
2019-04-06,3
2019-04-06,0
2019-04-06,1
2019-04-06,0
2019-04-06,3
2019-04-06,0
2019-04-06,2
2019-04-06,0
2019-04-06,1
2019-04-06,1
2019-04-06,12
2019-04-06,3
2019-04-06,11
2019-04-06,3
2019-04-06,16
2019-04-06,1
2019-04-06,0
2019-04-06,6
2019-04-06,4
2019-04-06,14
2019-04-06,0
2019-04-06,1
2019-04-06,8
2019-04-07,3
2019-04-07,11
2019-04-07,0
2019-04-07,1
2019-04-07,7
2019-04-07,1
2019-04-07,7
2019-04-07,4
2019-04-07,7
2019-04-07,0
2019-04-07,5
2019-04-07,7
2019-04-07,3
2019-04-07,8
2019-04-07,1
2019-04-07,2
2019-04-07,1
2019-04-07,7
2019-04-07,1
2019-04-07,3
2019-04-07,1
2019-04-07,13
2019-04-07,3
2019-04-07,12
2019-04-08,3
2019-04-08,4
2019-04-08,4
2019-04-08,11
2019-04-08,2
2019-04-08,7
2019-04-08,0
2019-04-08,9
2019-04-08,0
2019-04-08,6
2019-04-08,4
2019-04-08,4
2019-04-08,3
2019-04-08,2
2019-04-08,1
2019-04-08,3
2019-04-08,1
2019-04-08,1
2019-04-08,1
2019-04-08,9
2019-04-08,4
2019-04-08,11
2019-04-08,2
2019-04-08,10
2019-04-08,0
2019-04-08,1
2019-04-08,0
2019-04-08,0
2019-04-09,0
2019-04-09,1
2019-04-09,2
2019-04-09,7
2019-04-09,1
2019-04-09,1
2019-04-09,2
2019-04-09,7
2019-04-09,0
2019-04-09,1
2019-04-09,3
2019-04-09,8
2019-04-10,2
2019-04-10,10
2019-04-10,1
2019-04-10,8
2019-04-11,0
2019-04-11,1
2019-04-11,0
2019-04-11,0
2019-04-11,1
2019-04-11,2
2019-04-12,1
2019-04-12,4
2019-04-12,4
2019-04-13,0
2019-04-13,0
2019-04-13,11
2019-04-13,0
2019-04-13,10
2019-04-13,0
2019-04-13,1
2019-04-13,10
2019-04-13,0
2019-04-13,12
2019-04-15,2
2019-04-15,1
2019-04-15,6
2019-04-15,3
2019-04-15,2
2019-04-15,4
2019-04-15,0
2019-04-15,3
2019-04-15,0
2019-04-15,3
2019-04-15,0
2019-04-15,3
2019-04-15,0
2019-04-15,3
2019-04-15,0
2019-04-15,4
2019-04-16,5
2019-04-17,1
2019-04-17,0
2019-04-17,0
2019-04-17,0
2019-04-18,1
2019-04-18,0
2019-04-19,0
2019-04-19,1
2019-04-19,1
2019-04-19,0
2019-04-20,0
2019-04-20,0
2019-04-20,0
2019-04-20,1
2019-04-20,0
2019-04-20,2
2019-04-20,1
2019-04-20,0
2019-04-20,1
2019-04-20,0
2019-04-20,0
2019-04-20,1
2019-04-20,0
2019-04-20,1
2019-04-20,0
2019-04-20,0
2019-04-20,0
2019-04-20,0
2019-04-20,0
2019-04-20,1
2019-04-21,0
2019-04-21,0
2019-04-21,4
2019-04-21,3
2019-04-21,5
2019-04-21,3
2019-04-21,2
2019-04-21,6
2019-04-21,8
2019-04-21,3
2019-04-21,3
2019-04-21,14
2019-04-21,2
2019-04-21,3
2019-04-21,4
2019-04-22,0
2019-04-22,4
2019-04-22,3
2019-04-22,0
2019-04-22,1
2019-04-22,3
2019-04-22,3
2019-04-22,0
2019-04-22,1
2019-04-22,3
2019-04-22,6
2019-04-22,2
2019-04-22,0
2019-04-22,3
2019-04-22,1
2019-04-22,1
2019-04-22,2
2019-04-22,1
2019-04-22,1
2019-04-22,1
2019-04-22,0
2019-04-22,3
2019-04-22,9
2019-04-22,3
2019-04-22,3
2019-04-22,2
2019-04-22,1
2019-04-22,2
2019-04-22,3
2019-04-22,0
2019-04-22,0
2019-04-22,2
2019-04-22,2
2019-04-22,5
2019-04-22,9
2019-04-22,6
2019-04-22,1
2019-04-22,2
2019-04-22,2
2019-04-22,5
2019-04-22,4
2019-04-22,2
2019-04-22,5
2019-04-22,9
2019-04-22,2
2019-04-22,2
2019-04-22,5
2019-04-22,4
2019-04-22,1
2019-04-22,3
2019-04-22,4
2019-04-22,6
2019-04-22,2
2019-04-22,1
2019-04-22,4
2019-04-22,1
2019-04-22,4
2019-04-22,6
2019-04-22,4
2019-04-22,2
2019-04-22,4
2019-04-22,1
2019-04-22,5
2019-04-22,5
2019-04-22,4
2019-04-22,1
2019-04-22,5
2019-04-22,0
2019-04-22,0
2019-04-22,1
2019-04-22,0
2019-04-22,1
2019-04-23,2
2019-04-23,0
2019-04-23,0
2019-04-23,2
2019-04-23,0
2019-04-23,2
2019-04-23,2
2019-04-23,0
