date,stations,total meteors,avg mets per station
2019-03-22,2,8,4.0
2019-03-24,5,47,9.4
2019-03-25,3,40,13.333333333333334
2019-03-29,1,15,15.0
2019-03-30,9,130,14.444444444444445
2019-03-31,7,101,14.428571428571429
2019-04-01,7,104,14.857142857142858
2019-04-02,2,18,9.0
2019-04-03,3,19,6.333333333333333
2019-04-04,2,56,28.0
2019-04-05,4,74,18.5
2019-04-06,7,90,12.857142857142858
2019-04-07,7,108,15.428571428571429
2019-04-08,6,103,17.166666666666668
2019-04-09,4,33,8.25
2019-04-10,2,21,10.5
2019-04-11,1,4,4.0
2019-04-12,1,9,9.0
2019-04-13,2,44,22.0
2019-04-15,2,34,17.0
2019-04-16,1,5,5.0
2019-04-17,1,1,1.0
2019-04-18,1,1,1.0
2019-04-19,1,2,2.0
2019-04-20,3,8,2.6666666666666665
2019-04-21,4,60,15.0
2019-04-22,8,194,24.25
2019-04-23,2,41,20.5
2019-04-24,4,85,21.25
2019-04-25,4,59,14.75
2019-04-26,8,118,14.75
2019-04-27,4,40,10.0
2019-04-28,6,90,15.0
2019-04-29,7,89,12.714285714285714
2019-04-30,3,84,28.0
2019-05-01,5,80,16.0
2019-05-02,8,96,12.0
2019-05-03,7,63,9.0
2019-05-04,10,392,39.2
2019-05-05,18,550,30.555555555555557
2019-05-06,13,385,29.615384615384617
2019-05-07,11,341,31.0
2019-05-08,5,205,41.0
2019-05-09,2,195,97.5
2019-05-10,2,46,23.0
2019-05-11,5,150,30.0
2019-05-15,1,17,17.0
2019-05-22,3,24,8.0
2019-05-23,3,40,13.333333333333334
2019-05-24,1,9,9.0
2019-05-25,2,31,15.5
2019-05-26,2,56,28.0
2019-05-27,3,63,21.0
2019-05-28,4,71,17.75
2019-05-29,7,113,16.142857142857142
2019-05-30,5,91,18.2
2019-06-01,3,69,23.0
2019-06-02,4,55,13.75
2019-06-03,4,67,16.75
2019-06-04,7,92,13.142857142857142
2019-06-05,3,45,15.0
2019-06-06,6,41,6.833333333333333
2019-06-07,4,26,6.5
2019-06-08,4,39,9.75
2019-06-09,7,44,6.285714285714286
2019-06-10,2,6,3.0
2019-06-11,1,6,6.0
2019-06-22,3,30,10.0
2019-06-23,1,20,20.0
2019-06-24,1,22,22.0
2019-06-25,2,33,16.5
2019-06-26,2,30,15.0
2019-06-27,10,179,17.9
2019-06-28,6,44,7.333333333333333
2019-06-29,2,33,16.5
2019-06-30,2,30,15.0
2019-07-01,2,24,12.0
2019-07-02,5,97,19.4
2019-07-03,1,22,22.0
