date,stations,total meteors,avg mets per station
03/2019,27,341,70.60634920634921
04/2019,107,1594,380.7738095238096
05/2019,117,3018,522.7971306471306
06/2019,74,911,260.2452380952381
07/2019,144,4191,403.4943181818182
08/2019,719,23914,828.3782880952577
09/2019,60,2420,669.6071428571429
10/2019,164,4898,725.7389481433598
11/2019,75,1790,489.6075757575757
12/2019,113,3563,841.7962962962962
01/2020,79,2901,385.36133069828725
02/2020,27,312,117.25000000000001
03/2020,116,1659,315.6742063492064
04/2020,294,4979,398.98586799673757
05/2020,131,2452,481.4099206349207
06/2020,68,917,247.52777777777777
07/2020,127,3591,637.0710012210012
08/2020,642,24603,761.7068643187613
09/2020,128,2419,464.507178932179
10/2020,147,4111,578.1071428571429
11/2020,93,2157,575.4454545454546
12/2020,156,9808,729.9267201372074
01/2021,52,944,252.61666666666667
02/2021,2,8,4.0
