Date,Meteors
2019-03-22,8
2019-03-24,47
2019-03-25,40
2019-03-29,15
2019-03-30,130
2019-03-31,101
2019-04-01,104
2019-04-02,18
2019-04-03,19
2019-04-04,56
2019-04-05,74
2019-04-06,90
2019-04-07,108
2019-04-08,103
2019-04-09,33
2019-04-10,21
2019-04-11,4
2019-04-12,9
2019-04-13,44
2019-04-15,34
2019-04-16,5
2019-04-17,1
2019-04-18,1
2019-04-19,2
2019-04-20,8
2019-04-21,60
2019-04-22,194
2019-04-23,41
2019-04-24,85
2019-04-25,59
2019-04-26,118
2019-04-27,40
2019-04-28,90
2019-04-29,89
2019-04-30,84
2019-05-01,80
2019-05-02,96
2019-05-03,63
2019-05-04,392
2019-05-05,550
2019-05-06,385
2019-05-07,341
2019-05-08,205
2019-05-09,195
2019-05-10,46
2019-05-11,150
2019-05-15,17
2019-05-22,24
2019-05-23,40
2019-05-24,9
2019-05-25,31
2019-05-26,56
2019-05-27,63
2019-05-28,71
2019-05-29,113
2019-05-30,91
2019-06-01,69
2019-06-02,55
2019-06-03,67
2019-06-04,92
2019-06-05,45
2019-06-06,41
2019-06-07,26
2019-06-08,39
2019-06-09,44
2019-06-10,6
2019-06-11,6
2019-06-22,30
2019-06-23,20
2019-06-24,22
2019-06-25,33
2019-06-26,30
2019-06-27,179
2019-06-28,44
2019-06-29,33
2019-06-30,30
2019-07-01,24
2019-07-02,97
2019-07-03,22
2019-07-05,12
2019-07-08,3
2019-07-09,42
2019-07-11,15
2019-07-12,13
2019-07-13,9
2019-07-19,5
2019-07-20,15
2019-07-21,11
2019-07-23,75
2019-07-24,229
2019-07-25,452
2019-07-26,233
2019-07-27,364
2019-07-28,479
2019-07-29,931
2019-07-30,595
2019-07-31,565
2019-08-01,728
2019-08-02,374
2019-08-03,425
2019-08-04,432
2019-08-05,1543
2019-08-06,909
2019-08-07,1000
2019-08-08,660
2019-08-09,2984
2019-08-10,2082
2019-08-11,2352
2019-08-12,4073
2019-08-13,3945
2019-08-14,466
2019-08-15,3
2019-08-16,4
2019-08-17,2
2019-08-18,7
2019-08-19,23
2019-08-20,23
2019-08-21,47
2019-08-22,88
2019-08-23,174
2019-08-24,79
2019-08-25,202
2019-08-26,64
2019-08-27,165
2019-08-28,139
2019-08-29,196
2019-08-30,244
2019-08-31,481
2019-09-01,201
2019-09-02,332
2019-09-03,202
2019-09-04,234
2019-09-05,195
2019-09-06,338
2019-09-07,260
2019-09-08,42
2019-09-09,165
2019-09-10,111
2019-09-11,68
2019-09-19,20
2019-09-20,11
2019-09-21,83
2019-09-22,57
2019-09-23,18
2019-09-27,19
2019-09-28,39
2019-09-29,15
2019-09-30,10
2019-10-01,33
2019-10-02,43
2019-10-03,21
2019-10-04,9
2019-10-05,108
2019-10-06,40
2019-10-07,106
2019-10-08,76
2019-10-09,119
2019-10-10,33
2019-10-11,13
2019-10-17,30
2019-10-18,61
2019-10-19,165
2019-10-20,242
2019-10-21,373
2019-10-22,758
2019-10-23,602
2019-10-24,449
2019-10-25,84
2019-10-26,163
2019-10-27,137
2019-10-28,247
2019-10-29,319
2019-10-30,306
2019-10-31,361
2019-11-01,176
2019-11-02,163
2019-11-04,51
