date,meteors
2019-03-12,288.0
2019-03-13,225.0
2019-03-14,218.0
2019-03-15,192.0
2019-03-16,220.0
2019-03-17,260.0
2019-03-18,169.0
2019-03-19,191.0
2019-03-20,60.0
2019-03-21,16.0
2019-03-22,108.0
2019-03-23,159.0
2019-03-24,170.0
2019-03-25,150.0
2019-03-26,151.0
2019-03-27,132.0
2019-03-28,140.0
2019-03-29,149.0
2019-03-30,149.0
2019-03-31,139.0
2019-04-01,147.0
2019-04-02,304.0
2019-04-03,258.0
2019-04-04,184.0
2019-04-05,178.0
2019-04-06,314.0
2019-04-07,364.0
2019-04-08,233.0
2019-04-09,233.0
2019-04-10,306.0
2019-04-11,316.0
2019-04-12,343.0
2019-04-13,332.0
2019-04-14,371.0
2019-04-15,447.0
2019-04-16,248.0
2019-04-17,351.0
2019-04-18,622.0
2019-04-19,495.0
2019-04-20,689.0
2019-04-21,721.0
2019-04-22,460.0
2019-04-23,645.0
2019-04-24,784.0
2019-04-25,725.0
2019-04-26,808.0
2019-04-27,646.0
2019-04-28,531.0
2019-04-29,385.0
2019-04-30,461.0
2019-05-01,456.0
2019-05-02,385.0
2019-05-03,439.0
2019-05-04,440.0
2019-05-05,483.0
2019-05-06,451.0
2019-05-07,495.0
2019-05-08,0.0
2019-05-09,0.0
2019-05-10,0.0
2019-05-11,0.0
2019-05-12,0.0
2019-05-13,0.0
2019-05-14,0.0
2019-05-15,0.0
2019-05-16,0.0
2019-05-17,0.0
2019-05-18,0.0
2019-05-19,0.0
2019-05-20,0.0
2019-05-21,0.0
2019-05-22,0.0
2019-05-23,0.0
2019-05-24,591.0
2019-05-25,568.0
2019-05-26,528.0
2019-05-27,584.0
2019-05-28,581.0
2019-05-29,575.0
2019-05-30,534.0
2019-05-31,571.0
2019-06-01,574.0
2019-06-02,678.0
2019-06-03,671.0
2019-06-04,772.0
2019-06-05,746.0
2019-06-06,743.0
2019-06-07,897.0
2019-06-08,0.0
2019-06-09,0.0
2019-06-10,0.0
2019-06-11,0.0
2019-06-12,0.0
2019-06-13,0.0
2019-06-14,2.0
2019-06-15,0.0
2019-06-16,0.0
2019-06-17,254.0
2019-06-18,490.0
2019-06-19,638.0
2019-06-20,573.0
2019-06-21,592.0
