date;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2019-03-12;15.0;19.0;13.0;8.0;18.0;17.0;11.0;13.0;12.0;23.0;22.0;22.0;22.0;10.0;6.0;5.0;5.0;5.0;4.0;3.0;7.0;3.0;10.0;15.0
2019-03-13;10.0;11.0;10.0;12.0;12.0;14.0;7.0;6.0;15.0;13.0;24.0;21.0;19.0;6.0;7.0;4.0;1.0;4.0;6.0;3.0;2.0;6.0;7.0;5.0
2019-03-14;10.0;10.0;5.0;8.0;9.0;8.0;7.0;17.0;11.0;17.0;13.0;18.0;11.0;14.0;8.0;5.0;2.0;3.0;7.0;8.0;3.0;8.0;8.0;8.0
2019-03-15;13.0;18.0;12.0;12.0;6.0;10.0;15.0;13.0;6.0;11.0;16.0;14.0;9.0;4.0;3.0;5.0;5.0;2.0;1.0;2.0;3.0;4.0;3.0;5.0
2019-03-16;11.0;14.0;17.0;8.0;7.0;6.0;13.0;6.0;20.0;14.0;22.0;7.0;16.0;9.0;5.0;;3.0;3.0;3.0;1.0;4.0;9.0;11.0;11.0
2019-03-17;9.0;14.0;16.0;14.0;13.0;15.0;17.0;14.0;20.0;12.0;16.0;23.0;7.0;8.0;5.0;4.0;3.0;4.0;4.0;6.0;6.0;6.0;9.0;15.0
2019-03-18;8.0;6.0;3.0;13.0;6.0;8.0;11.0;8.0;6.0;10.0;15.0;11.0;10.0;12.0;4.0;2.0;8.0;2.0;7.0;1.0;3.0;4.0;5.0;6.0
2019-03-19;5.0;11.0;16.0;4.0;7.0;14.0;10.0;7.0;16.0;8.0;17.0;8.0;7.0;10.0;4.0;7.0;2.0;2.0;6.0;5.0;2.0;7.0;6.0;10.0
2019-03-20;5.0;6.0;4.0;8.0;5.0;8.0;7.0;6.0;3.0;1.0;;;;;;;;;;;;7.0;;
2019-03-21;;;;;;;;;;;;;;;;;;;;;1.0;6.0;3.0;6.0
2019-03-22;2.0;2.0;1.0;2.0;5.0;8.0;7.0;4.0;;6.0;9.0;10.0;9.0;5.0;8.0;8.0;3.0;;2.0;;1.0;5.0;2.0;9.0
2019-03-23;10.0;10.0;8.0;5.0;5.0;4.0;7.0;5.0;11.0;10.0;12.0;8.0;16.0;6.0;6.0;5.0;3.0;3.0;5.0;4.0;1.0;4.0;2.0;9.0
2019-03-24;5.0;6.0;13.0;11.0;6.0;5.0;3.0;12.0;10.0;13.0;11.0;16.0;13.0;7.0;6.0;3.0;4.0;6.0;4.0;2.0;4.0;3.0;3.0;4.0
2019-03-25;6.0;5.0;6.0;5.0;10.0;9.0;6.0;5.0;10.0;8.0;5.0;12.0;8.0;7.0;8.0;12.0;6.0;2.0;2.0;2.0;4.0;5.0;6.0;1.0
2019-03-26;5.0;10.0;7.0;3.0;5.0;9.0;8.0;5.0;10.0;9.0;13.0;10.0;9.0;8.0;7.0;4.0;6.0;6.0;2.0;;1.0;3.0;5.0;6.0
2019-03-27;9.0;3.0;1.0;3.0;5.0;5.0;3.0;7.0;6.0;7.0;8.0;12.0;11.0;4.0;9.0;7.0;5.0;4.0;7.0;3.0;1.0;1.0;5.0;6.0
2019-03-28;5.0;4.0;3.0;5.0;4.0;4.0;11.0;8.0;14.0;8.0;8.0;13.0;6.0;5.0;9.0;3.0;5.0;2.0;1.0;4.0;4.0;3.0;2.0;9.0
2019-03-29;8.0;4.0;3.0;8.0;2.0;6.0;12.0;7.0;11.0;12.0;9.0;4.0;8.0;9.0;7.0;7.0;1.0;2.0;4.0;6.0;2.0;5.0;6.0;6.0
2019-03-30;1.0;3.0;12.0;6.0;5.0;9.0;3.0;8.0;5.0;11.0;13.0;5.0;9.0;2.0;9.0;9.0;13.0;2.0;1.0;6.0;3.0;4.0;8.0;2.0
2019-03-31;4.0;10.0;;11.0;6.0;7.0;3.0;8.0;12.0;11.0;7.0;13.0;3.0;5.0;4.0;2.0;2.0;3.0;2.0;3.0;2.0;6.0;8.0;7.0
2019-04-01;2.0;3.0;8.0;9.0;5.0;2.0;7.0;10.0;5.0;14.0;9.0;13.0;5.0;6.0;4.0;3.0;4.0;2.0;4.0;5.0;5.0;6.0;6.0;10.0
2019-04-02;7.0;10.0;13.0;6.0;12.0;14.0;10.0;14.0;21.0;13.0;22.0;18.0;9.0;23.0;5.0;5.0;14.0;36.0;5.0;4.0;4.0;9.0;20.0;10.0
2019-04-03;13.0;9.0;17.0;18.0;19.0;9.0;9.0;18.0;23.0;20.0;22.0;16.0;20.0;11.0;9.0;5.0;4.0;3.0;1.0;2.0;;6.0;3.0;1.0
2019-04-04;7.0;8.0;4.0;10.0;9.0;7.0;13.0;9.0;9.0;15.0;13.0;11.0;12.0;7.0;4.0;13.0;3.0;5.0;1.0;2.0;1.0;5.0;5.0;11.0
2019-04-05;6.0;6.0;8.0;7.0;2.0;5.0;13.0;8.0;12.0;17.0;15.0;11.0;10.0;13.0;7.0;7.0;7.0;4.0;1.0;1.0;;5.0;4.0;9.0
2019-04-06;10.0;8.0;7.0;14.0;11.0;18.0;9.0;18.0;17.0;19.0;16.0;15.0;16.0;19.0;13.0;7.0;10.0;47.0;5.0;5.0;13.0;5.0;9.0;3.0
2019-04-07;5.0;12.0;17.0;17.0;11.0;14.0;13.0;16.0;20.0;52.0;20.0;14.0;12.0;12.0;12.0;8.0;82.0;8.0;6.0;2.0;2.0;4.0;1.0;4.0
