date,meteors
2019-03-15,192.0
2019-04-22,460.0
2019-04-23,645.0
2019-04-24,784.0
2019-05-06,451.0
2019-05-09,0.0
2019-05-16,0.0
2019-05-20,0.0
2019-06-07,897.0
2019-06-08,0.0
2019-06-09,0.0
2019-06-27,721.0
2019-06-28,536.0
2019-07-28,0.0
2019-07-30,15.0
2019-08-13,885.0
2019-08-18,408.0
2019-08-25,439.0
2019-09-01,458.0
2019-09-09,0.0
2019-09-28,0.0
2019-10-06,202.0
2019-10-09,163.0
2019-10-10,179.0
2019-10-11,292.0
2019-10-19,453.0
2019-10-22,419.0
2019-10-25,549.0
2019-11-13,0.0
2019-11-18,273.0
2019-11-22,195.0
2019-11-28,481.0
2019-12-02,338.0
2019-12-07,421.0
2019-12-09,279.0
2019-12-12,738.0
2019-12-14,499.0
2019-12-16,243.0
2019-12-20,260.0
2019-12-23,451.0
