date,meteors
2019-03-22,105
2019-03-23,158
2019-03-24,170
2019-03-25,150
2019-03-26,149
2019-03-27,130
2019-03-28,137
2019-03-29,149
2019-03-30,148
2019-03-31,139
2019-04-01,148
2019-04-02,331
2019-04-03,252
2019-04-04,178
2019-04-05,174
2019-04-06,281
2019-04-07,293
2019-04-08,226
2019-04-09,229
2019-04-10,293
2019-04-11,302
2019-04-12,328
2019-04-13,307
2019-04-14,352
2019-04-15,394
2019-04-16,26
2019-04-17,327
2019-04-18,520
2019-04-19,454
2019-04-20,625
2019-04-21,649
2019-04-22,433
2019-04-23,583
2019-04-24,689
2019-04-25,646
2019-04-26,740
2019-04-27,614
2019-04-28,512
2019-04-29,378
2019-04-30,449
2019-05-01,447
2019-05-02,378
2019-05-03,434
2019-05-04,63
2019-05-05,485
2019-05-06,431
2019-05-07,471
2019-05-24,583
2019-05-25,559
2019-05-26,522
2019-05-27,571
2019-05-28,569
2019-05-29,563
2019-05-30,519
2019-05-31,556
2019-06-01,564
2019-06-02,659
2019-06-03,658
2019-06-04,98
2019-06-05,736
2019-06-06,714
2019-07-25,19
2019-07-31,87
2019-08-01,95
2019-08-02,89
2019-08-03,93
2019-08-04,90
2019-08-05,110
2019-08-06,100
2019-08-07,132
2019-08-08,150
2019-08-09,149
2019-08-10,123
2019-08-11,185
2019-08-12,205
2019-08-13,343
2019-08-14,259
2019-08-15,564
2019-08-16,508
2019-08-17,440
2019-08-18,402
2019-08-19,476
2019-08-20,280
2019-08-21,426
2019-08-22,490
2019-08-23,554
2019-08-24,512
2019-08-25,428
2019-08-26,374
2019-08-29,71
2019-08-30,423
2019-08-31,442
2019-09-01,454
2019-09-02,474
2019-09-03,158
2019-09-04,154
2019-09-05,374
2019-09-06,363
2019-09-07,388
2019-09-08,360
2019-09-09,355
2019-09-10,238
2019-09-11,191
2019-09-12,211
2019-09-13,182
2019-09-14,216
2019-09-15,219
2019-09-16,189
2019-09-17,250
2019-09-18,274
2019-09-19,259
2019-09-20,250
2019-09-21,203
2019-09-22,190
2019-09-23,240
2019-09-24,255
2019-09-25,221
2019-09-26,210
2019-09-27,183
2019-09-28,195
2019-09-29,218
2019-09-30,214
2019-10-01,158
2019-10-02,182
2019-10-03,146
2019-10-04,224
2019-10-05,222
2019-10-06,199
2019-10-07,195
2019-10-08,224
2019-10-09,161
2019-10-10,179
2019-10-11,289
2019-10-12,293
2019-10-13,362
2019-10-14,26
2019-10-15,451
2019-10-16,468
2019-10-17,351
2019-10-18,309
2019-10-19,433
2019-10-20,355
2019-10-21,464
2019-10-22,398
2019-10-23,320
2019-10-24,531
2019-10-25,531
2019-10-26,462
2019-10-27,522
2019-10-28,467
2019-10-29,407
2019-10-30,365
2019-10-31,298
2019-11-01,289
2019-11-02,368
2019-11-03,392
2019-11-04,400
2019-11-05,332
2019-11-06,444
2019-11-07,163
2019-11-15,1
2019-11-16,58
2019-11-17,206
2019-11-18,277
2019-11-19,292
2019-11-20,262
2019-11-21,171
2019-11-22,196
2019-11-23,305
2019-11-25,368
2019-11-26,268
2019-11-27,300
2019-11-28,470
2019-11-29,348
2019-11-30,365
2019-12-01,197
2019-12-02,333
2019-12-03,345
2019-12-04,258
2019-12-05,376
2019-12-06,470
2019-12-07,405
2019-12-08,292
2019-12-09,50
2019-12-11,557
2019-12-12,702
2019-12-13,435
2019-12-14,477
2019-12-15,602
2019-12-16,242
2019-12-17,247
2019-12-18,299
2019-12-19,212
2019-12-20,262
2019-12-21,311
2019-12-22,433
2019-12-23,426
2019-12-24,270
2019-12-25,242
2019-12-26,334
2019-12-27,435
2019-12-28,467
2019-12-29,408
2019-12-30,442
2019-12-31,383
2020-01-01,334
2020-01-02,456
2020-01-03,419
2020-01-04,744
2020-01-05,433
2020-01-06,411
2020-01-07,365
2020-01-08,408
2020-01-09,401
2020-01-10,433
2020-01-11,478
2020-01-12,441
2020-01-13,395
2020-01-14,511
2020-01-15,413
2020-01-16,330
2020-01-17,236
2020-01-18,210
2020-01-19,402
2020-01-20,369
2020-01-21,381
2020-01-22,339
2020-01-23,393
2020-01-29,106
2020-01-30,137
2020-01-31,143
2020-02-01,123
2020-02-02,208
2020-02-03,192
2020-02-04,152
2020-02-05,190
2020-02-06,164
2020-02-07,202
2020-02-08,130
2020-02-09,130
2020-02-10,225
2020-02-11,139
2020-02-12,256
2020-02-13,221
2020-02-14,143
2020-02-15,165
2020-02-16,234
2020-02-17,229
2020-02-18,198
2020-02-19,258
2020-02-20,224
2020-02-21,152
2020-02-22,139
2020-02-23,183
2020-02-24,164
2020-02-25,192
2020-02-26,162
2020-02-27,199
2020-02-28,156
2020-02-29,153
2020-03-01,114
2020-03-02,153
2020-03-03,242
2020-03-04,223
2020-03-05,181
2020-03-06,141
2020-03-07,150
2020-03-08,141
2020-03-09,172
2020-03-10,165
2020-03-11,176
2020-03-12,175
2020-03-13,166
2020-03-14,177
2020-03-15,214
2020-03-16,137
2020-03-17,149
2020-03-18,320
2020-03-19,257
2020-03-20,193
2020-03-21,121
2020-03-22,236
2020-03-23,120
2020-03-24,161
2020-03-25,200
2020-03-26,200
2020-03-27,161
2020-03-28,306
2020-03-29,203
2020-03-30,190
2020-03-31,120
2020-04-01,136
2020-04-02,222
2020-04-03,227
2020-04-04,167
2020-04-05,203
2020-04-06,222
2020-04-07,167
2020-04-08,289
2020-04-09,260
2020-04-25,225
2020-04-26,273
2020-04-27,248
2020-04-28,352
2020-04-29,327
2020-04-30,252
2020-05-01,288
2020-05-02,328
2020-05-03,319
2020-05-04,304
2020-05-05,303
2020-05-06,315
2020-05-07,294
2020-05-08,282
2020-05-09,235
2020-05-10,248
2020-05-11,362
2020-05-12,293
2020-05-13,239
2020-05-14,229
2020-05-15,293
2020-05-16,274
2020-05-17,311
2020-05-18,218
2020-05-19,257
2020-05-20,255
2020-05-21,277
2020-05-22,223
2020-05-23,119
2020-05-24,246
2020-05-25,219
2020-05-26,244
2020-05-27,217
2020-05-28,258
2020-05-29,400
2020-05-30,266
2020-05-31,288
2020-06-01,381
2020-06-02,283
2020-06-03,293
2020-06-04,299
2020-06-05,380
2020-06-06,358
2020-06-07,322
2020-06-08,392
2020-06-09,405
2020-06-10,537
2021-02-01,164
